OrderID,OrderDate,CustomerID,City,Product,Quantity,UnitPrice,TotalAmount
1,2023-01-01,4174,Hyderabad,Mouse M,3,1000,3000
2,2023-01-02,4507,Delhi,Printer Max,1,12000,12000
3,2023-01-03,1860,Delhi,Smartphone X,5,25000,125000
4,2023-01-04,2294,Delhi,Mouse M,5,1000,5000
5,2023-01-05,2130,Chennai,Tablet Plus,4,15000,60000
6,2023-01-06,2095,Pune,Smartwatch Q,4,8000,32000
7,2023-01-07,4772,Pune,Smartphone X,2,25000,50000
8,2023-01-08,4092,Hyderabad,Smartphone X,4,25000,100000
9,2023-01-09,2638,Delhi,Mouse M,5,1000,5000
10,2023-01-10,3169,Pune,Mouse M,4,1000,4000
11,2023-01-11,1466,Bangalore,Laptop Pro,1,50000,50000
12,2023-01-12,2238,Pune,Office Chair,2,7500,15000
13,2023-01-13,1330,Kolkata,Smartwatch Q,2,8000,16000
14,2023-01-14,2482,Kolkata,Keyboard K,5,1500,7500
15,2023-01-15,3135,Pune,Headphones Z,4,3000,12000
16,2023-01-16,4444,Bangalore,Smartwatch Q,1,8000,8000
17,2023-01-17,4171,Kolkata,Smartwatch Q,4,8000,32000
18,2023-01-18,3919,Chennai,Smartwatch Q,3,8000,24000
19,2023-01-19,4735,Pune,Smartphone X,4,25000,100000
20,2023-01-20,1130,Chennai,Tablet Plus,5,15000,75000
21,2023-01-21,2685,Pune,Smartphone X,4,25000,100000
22,2023-01-22,4380,Mumbai,Tablet Plus,2,15000,30000
23,2023-01-23,1769,Mumbai,Mouse M,1,1000,1000
24,2023-01-24,3391,Mumbai,Headphones Z,5,3000,15000
25,2023-01-25,2515,Kolkata,Smartphone X,3,25000,75000
26,2023-01-26,4485,Chennai,Tablet Plus,1,15000,15000
27,2023-01-27,3853,Chennai,Smartphone X,1,25000,25000
28,2023-01-28,3433,Chennai,Printer Max,2,12000,24000
29,2023-01-29,2215,Bangalore,Smartphone X,2,25000,50000
30,2023-01-30,1955,Chennai,Headphones Z,2,3000,6000
31,2023-01-31,3324,Bangalore,Headphones Z,5,3000,15000
32,2023-02-01,2184,Mumbai,Tablet Plus,4,15000,60000
33,2023-02-02,1459,Mumbai,Tablet Plus,1,15000,15000
34,2023-02-03,4385,Kolkata,Mouse M,4,1000,4000
35,2023-02-04,1021,Pune,Headphones Z,4,3000,12000
36,2023-02-05,3300,Mumbai,Headphones Z,2,3000,6000
37,2023-02-06,1747,Pune,Laptop Pro,4,50000,200000
38,2023-02-07,3904,Pune,Smartwatch Q,1,8000,8000
39,2023-02-08,4632,Kolkata,Monitor Ultra,1,20000,20000
40,2023-02-09,1474,Delhi,Smartphone X,3,25000,75000
41,2023-02-10,2082,Delhi,Office Chair,5,7500,37500
42,2023-02-11,3558,Hyderabad,Mouse M,4,1000,4000
43,2023-02-12,4753,Kolkata,Smartwatch Q,5,8000,40000
44,2023-02-13,3047,Hyderabad,Monitor Ultra,5,20000,100000
45,2023-02-14,4547,Hyderabad,Laptop Pro,5,50000,250000
46,2023-02-15,3747,Delhi,Office Chair,5,7500,37500
47,2023-02-16,1975,Kolkata,Tablet Plus,1,15000,15000
48,2023-02-17,2806,Delhi,Headphones Z,4,3000,12000
49,2023-02-18,1189,Hyderabad,Printer Max,3,12000,36000
50,2023-02-19,4005,Kolkata,Mouse M,5,1000,5000
51,2023-02-20,3734,Hyderabad,Keyboard K,3,1500,4500
52,2023-02-21,4005,Chennai,Headphones Z,1,3000,3000
53,2023-02-22,1562,Pune,Printer Max,1,12000,12000
54,2023-02-23,2899,Kolkata,Monitor Ultra,2,20000,40000
55,2023-02-24,4638,Kolkata,Tablet Plus,5,15000,75000
56,2023-02-25,2267,Pune,Office Chair,2,7500,15000
57,2023-02-26,3879,Hyderabad,Monitor Ultra,3,20000,60000
58,2023-02-27,2528,Chennai,Headphones Z,4,3000,12000
59,2023-02-28,4202,Bangalore,Headphones Z,2,3000,6000
60,2023-03-01,4556,Pune,Office Chair,1,7500,7500
61,2023-03-02,4890,Delhi,Keyboard K,5,1500,7500
62,2023-03-03,1646,Hyderabad,Printer Max,3,12000,36000
63,2023-03-04,3068,Pune,Monitor Ultra,1,20000,20000
64,2023-03-05,3888,Pune,Tablet Plus,4,15000,60000
65,2023-03-06,3214,Kolkata,Headphones Z,5,3000,15000
66,2023-03-07,2297,Delhi,Monitor Ultra,4,20000,80000
67,2023-03-08,3435,Delhi,Keyboard K,4,1500,6000
68,2023-03-09,1600,Delhi,Monitor Ultra,5,20000,100000
69,2023-03-10,3363,Pune,Office Chair,5,7500,37500
70,2023-03-11,3061,Bangalore,Tablet Plus,4,15000,60000
71,2023-03-12,1241,Mumbai,Laptop Pro,3,50000,150000
72,2023-03-13,3041,Hyderabad,Office Chair,5,7500,37500
73,2023-03-14,3824,Mumbai,Monitor Ultra,1,20000,20000
74,2023-03-15,4417,Pune,Laptop Pro,2,50000,100000
75,2023-03-16,3612,Mumbai,Headphones Z,3,3000,9000
